sample_pred_0.png "(523, 13)" "(584, 65)"
sample_pred_1.png "(451, 15)" "(568, 157)"
sample_pred_10.png "(238, 29)" "(530, 389)"
sample_pred_11.png "(76, 16)" "(427, 280)"
sample_pred_12.png "(25, 99)" "(504, 539)"
sample_pred_13.png "(24, 260)" "(478, 572)"
sample_pred_14.png "(14, 410)" "(210, 582)"
sample_pred_15.png "(15, 161)" "(93, 104)"
sample_pred_16.png "(10, 370)" "(153, 263)"
sample_pred_17.png "(29, 547)" "(157, 433)"
sample_pred_18.png "(321, 510)" "(515, 211)"
sample_pred_19.png "(345, 516)" "(555, 312)"
sample_pred_2.png "(382, 26)" "(571, 264)"
sample_pred_20.png "(335, 557)" "(554, 363)"
sample_pred_21.png "(396, 588)" "(577, 457)"
sample_pred_22.png "(495, 588)" "(588, 524)"
sample_pred_23.png "(14, 115)" "(438, 59)"
sample_pred_24.png "(16, 313)" "(171, 203)"
sample_pred_25.png "(187, 435)" "(442, 354)"
sample_pred_26.png "(42, 430)" "(545, 313)"
sample_pred_27.png "(14, 326)" "(466, 440)"
sample_pred_28.png "(589, 125)" "(395, 416)"
sample_pred_29.png "(447, 445)" "(576, 240)"
sample_pred_3.png "(156, 46)" "(540, 322)"
sample_pred_30.png "(457, 568)" "(551, 406)"
sample_pred_31.png "(55, 152)" "(190, 26)"
sample_pred_32.png "(90, 279)" "(372, 85)"
sample_pred_33.png "(374, 20)" "(140, 351)"
sample_pred_34.png "(235, 36)" "(377, 160)"
sample_pred_35.png "(41, 31)" "(410, 419)"
sample_pred_36.png "(10, 190)" "(565, 499)"
sample_pred_37.png "(12, 478)" "(173, 546)"
sample_pred_4.png "(24, 58)" "(328, 266)"
sample_pred_5.png "(12, 174)" "(500, 506)"
sample_pred_6.png "(11, 329)" "(443, 564)"
sample_pred_7.png "(14, 521)" "(79, 584)"
sample_pred_8.png "(498, 27)" "(573, 217)"
sample_pred_9.png "(359, 11)" "(466, 118)"
