sample_pred_0.png "(68, 43)" "(185, 271)"
sample_pred_1.png "(53, 280)" "(429, 139)"
sample_pred_10.png "(38, 132)" "(294, 403)"
sample_pred_11.png "(13, 197)" "(334, 368)"
sample_pred_12.png "(229, 40)" "(388, 323)"
sample_pred_13.png "(88, 135)" "(381, 188)"
sample_pred_14.png "(64, 346)" "(508, 255)"
sample_pred_15.png "(260, 32)" "(313, 377)"
sample_pred_16.png "(56, 374)" "(502, 288)"
sample_pred_17.png "(343, 16)" "(471, 462)"
sample_pred_18.png "(428, 435)" "(199, 514)"
sample_pred_19.png "(47, 275)" "(234, 52)"
sample_pred_2.png "(29, 223)" "(347, 338)"
sample_pred_20.png "(176, 375)" "(280, 125)"
sample_pred_21.png "(474, 102)" "(362, 384)"
sample_pred_22.png "(148, 210)" "(423, 414)"
sample_pred_23.png "(40, 237)" "(315, 432)"
sample_pred_24.png "(147, 445)" "(286, 214)"
sample_pred_25.png "(73, 107)" "(86, 331)"
sample_pred_26.png "(61, 371)" "(197, 314)"
sample_pred_27.png "(199, 337)" "(428, 205)"
sample_pred_28.png "(38, 217)" "(265, 372)"
sample_pred_29.png "(58, 224)" "(236, 443)"
sample_pred_3.png "(129, 455)" "(291, 157)"
sample_pred_30.png "(501, 128)" "(527, 126)"
sample_pred_31.png "(560, 140)" "(404, 435)"
sample_pred_32.png "(263, 12)" "(526, 35)"
sample_pred_33.png "(274, 134)" "(376, 380)"
sample_pred_34.png "(465, 125)" "(557, 179)"
sample_pred_35.png "(217, 39)" "(392, 313)"
sample_pred_36.png "(60, 213)" "(379, 53)"
sample_pred_37.png "(74, 486)" "(370, 429)"
sample_pred_38.png "(229, 118)" "(237, 384)"
sample_pred_39.png "(417, 173)" "(368, 456)"
sample_pred_4.png "(101, 50)" "(115, 429)"
sample_pred_40.png "(59, 164)" "(316, 286)"
sample_pred_41.png "(289, 409)" "(329, 156)"
sample_pred_42.png "(540, 102)" "(127, 196)"
sample_pred_43.png "(72, 299)" "(327, 106)"
sample_pred_44.png "(84, 255)" "(234, 478)"
sample_pred_45.png "(22, 94)" "(385, 160)"
sample_pred_46.png "(252, 23)" "(495, 196)"
sample_pred_47.png "(89, 329)" "(283, 468)"
sample_pred_48.png "(74, 384)" "(167, 214)"
sample_pred_5.png "(204, 72)" "(243, 409)"
sample_pred_6.png "(373, 19)" "(225, 288)"
sample_pred_7.png "(35, 222)" "(191, 482)"
sample_pred_8.png "(20, 234)" "(245, 402)"
sample_pred_9.png "(62, 427)" "(335, 286)"
